,Location,Borough,Postcode,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Abbey Wood,Bexley,SE2,51.492450000000076,0.12127000000003818,0,Grocery Store,Supermarket,Pub,Fast Food Restaurant,Bakery,Historic Site,Train Station,Clothing Store,Gastropub,Gym / Fitness Center
1,Acton,Ealing,W3,51.51324000000005,-0.2674599999999714,1,Coffee Shop,Pub,Café,Park,Middle Eastern Restaurant,Gym / Fitness Center,Pizza Place,Gastropub,Grocery Store,Bookstore
2,Anerley,Bromley,SE20,51.41009000000008,-0.05682999999993399,1,Pub,Park,Café,Italian Restaurant,Gastropub,Gym / Fitness Center,Indian Restaurant,Coffee Shop,Supermarket,Grocery Store
3,Arkley,Barnet,EN5,51.64441500000004,-0.1791830389999518,1,Pub,Coffee Shop,Café,Grocery Store,Supermarket,Italian Restaurant,Turkish Restaurant,Park,Pharmacy,Golf Course
4,Arnos Grove,Enfield,N11,51.616310000000055,-0.1383899999999585,0,Café,Park,Grocery Store,Greek Restaurant,Pub,Portuguese Restaurant,Bakery,Gym / Fitness Center,Coffee Shop,Turkish Restaurant
5,Balham,Wandsworth,SW12,51.44822000000005,-0.1483899999999494,1,Coffee Shop,Pub,Park,Pizza Place,Café,Bakery,Beer Store,Italian Restaurant,Market,Supermarket
6,Barnes,Richmond upon Thames,SW13,51.47469000000007,-0.24162999999992962,1,Coffee Shop,Pub,Park,Café,French Restaurant,Japanese Restaurant,Pizza Place,Thai Restaurant,Restaurant,Wine Bar
7,Barnet Gate,Barnet,NW7,51.615680000000054,-0.2451099999999542,0,Supermarket,Pub,Coffee Shop,Grocery Store,Bakery,Gym / Fitness Center,Park,Sandwich Place,Chinese Restaurant,Golf Course
8,Battersea,Wandsworth,SW11,51.46760000000006,-0.16289999999997917,1,Pub,Coffee Shop,Park,Café,French Restaurant,Pizza Place,Plaza,Ice Cream Shop,Bakery,Italian Restaurant
9,Beckenham,Bromley,BR3,51.415095000000065,-0.035402759999954014,1,Pub,Café,Park,Grocery Store,Coffee Shop,Gym / Fitness Center,Indian Restaurant,Gastropub,Italian Restaurant,Athletics & Sports
10,Beckton,Newham,E6,51.53292000000005,0.05461000000002514,0,Indian Restaurant,Hotel,Coffee Shop,Supermarket,Pub,Park,Gym / Fitness Center,Light Rail Station,Ice Cream Shop,Clothing Store
11,Bedford Park,Ealing,W4,51.48944000000006,-0.26193999999992457,1,Pub,Coffee Shop,Park,Café,Gym / Fitness Center,Botanical Garden,French Restaurant,Japanese Restaurant,Pizza Place,Historic Site
12,Bellingham,Lewisham,SE6,51.43722000000008,-0.018679999999960728,1,Pub,Coffee Shop,Grocery Store,Park,Café,Supermarket,Gym / Fitness Center,Italian Restaurant,Indian Restaurant,Fish & Chips Shop
13,Bexleyheath (also Bexley New Town),Bexley,DA6,51.50642000000005,-0.1272099999999341,0,Hotel,Bookstore,Clothing Store,Theater,Plaza,Indian Restaurant,Steakhouse,Cocktail Bar,Lounge,History Museum
14,Blackheath,Lewisham,SE3,51.47138000000007,0.023380000000031487,1,Pub,Park,Garden,Café,Turkish Restaurant,Historic Site,Grocery Store,Market,Furniture / Home Store,French Restaurant
15,Blackheath Royal Standard,Greenwich,SE3,51.47138000000007,0.023380000000031487,1,Pub,Park,Garden,Café,Turkish Restaurant,Historic Site,Grocery Store,Market,Furniture / Home Store,French Restaurant
16,Brent Cross,Barnet,NW2,51.562370000000044,-0.22130999999995993,0,Park,Café,Italian Restaurant,Grocery Store,Pub,Korean Restaurant,Sushi Restaurant,Bakery,Pizza Place,Supermarket
17,Brent Park,Brent,NW10,51.53938000000005,-0.25204999999994016,1,Pub,Café,Park,Coffee Shop,Portuguese Restaurant,Italian Restaurant,Middle Eastern Restaurant,Restaurant,Gym / Fitness Center,Thai Restaurant
18,Brockley,Lewisham,SE4,51.462680000000034,-0.035579999999924894,1,Coffee Shop,Pub,Park,Bar,Café,Italian Restaurant,Pizza Place,Cocktail Bar,Brewery,Beer Store
19,Brondesbury,Brent,NW6,51.541870000000074,-0.1979499999999348,0,Bakery,Café,Pub,Park,Coffee Shop,Movie Theater,Thai Restaurant,Gym / Fitness Center,Pizza Place,Restaurant
20,Brunswick Park,Barnet,N11,51.616310000000055,-0.1383899999999585,0,Café,Park,Grocery Store,Greek Restaurant,Pub,Portuguese Restaurant,Bakery,Gym / Fitness Center,Coffee Shop,Turkish Restaurant
